"id","label","begivenhed","aktiv","sortering"
"dime.find.process.accessioned","Indlemmet i museets samling","Indlemmede fundet i museets samling","1","7"
"dime.find.process.appraised","Erklæret danefæ af NM","Erklærede fundet som danefæ","1","6"
"dime.find.process.claimed","Hos NM til danefævurdering","Modtog fundet til danefævurdering","1","6"
"dime.find.process.discarded","Kasseret","Fundet blev kasseret","1","5"
"dime.find.process.evaluated","Muligt danefæ - indsendes til NM","Skønnede fundet som muligt danefæ, indsendes til nationalmuseet","1","5"
"dime.find.process.finished","Færdigredigeret i DIME","Færdiggjorde fundet i DIME","1","2"
"dime.find.process.handed-in","Indleveret til lokalmuseum","Indleverede fundet til museet","1","4"
"dime.find.process.inactive","Valgmulighed ikke i brug",,"0","0"
"dime.find.process.not-appraised","Erklæret ikke-danefæ af NM","Vurderet som ikke-danefæ af Nationalmuseet. Returneres.","1","6"
"dime.find.process.old-recording","Indleveret før DIME","Oprettede et tidligere indleveret fund","1","1"
"dime.find.process.queried","Forespørgsel sendt til museet","Sendte forespørgsel til museet","1","2"
"dime.find.process.received-museum","Modtaget på lokalmuseum","Kvitterede for modtagelse af fund","1","5"
"dime.find.process.recorded","Oprettet i DIME","Oprettede fundet i DIME","1","1"
"dime.find.process.rejected","Museet har anmodet om yderligere information","Anmodede finderen om yderligere information","1","3"
"dime.find.process.released","Frigivet til finder","Frigav fundet til finderen","1","8"
"dime.find.process.replied","Svar sendt til finder","Sendte svar til finderen","1","3"
"dime.find.process.reported","Forespørgsel sendt til museet",,"0","0"
"dime.find.process.requested","Museet har anmodet om indlevering","Anmodede finderen om indlevering","1","4"
"dime.find.process.shared","Delt med lokalmuseum","Delte fundet med lokalmuseet","1","2"
