"id","gl_id","label","datering_start","datering_slut","periode","materiale","keywords","beskrivelse","getty","getty_match","getty_label","fish","sortering"
"dime.find.coin","dime.find.class.coin;dime.find.subtype.coin.foreign.unknown;dime.find.subtype.coin.modern;dime.find.subtype.coin.danish.unknown;dime.find.subtype.coin.foreign.unknown;dime.find.subtype.coin.danish-mid;dime.find.subtype.coin.danish-other;dime.find.subtype.coin.other;dime.find.subtype.coin.unknown","Mønt",,,"dime.period.undated","dime.material.unknown","mønt",,"http://vocab.getty.edu/aat/300037222","exact match","COINS (MONEY)",,"2"
"dime.find.coin.danish_civilwar","dime.find.subtype.coin.danish-civilwar","Dansk borgerkrigsmønt (1242-1380)","1241","1380","dime.period.medieval","dime.material.copperalloy","bm;mønt",,"http://vocab.getty.edu/aat/300194573","close match","LATER WESTERN WORLD COINS",,NULL
"dime.find.coin.danish_ma",,"Dansk middelaldermønt",,,"dime.period.medieval","dime.material.unknown","mønt",,"http://vocab.getty.edu/aat/300194573","close match","LATER WESTERN WORLD COINS",,NULL
"dime.find.coin.danish_ma.danish_ema","dime.find.subtype.coin.danish-early","Dansk tidlig middaldermønt (1067-1241)","1067","1241","dime.period.medieval.early","dime.material.unknown","mønt",,"http://vocab.getty.edu/aat/300194573","close match","LATER WESTERN WORLD COINS",,NULL
"dime.find.coin.danish_ma.danish_lma","dime.find.subtype.coin.danish","Dansk senmiddelaldermønt (c. 1380-1535)","1380","1535","dime.period.medieval.late","dime.material.unknown","mønt",,"http://vocab.getty.edu/aat/300194573","close match","LATER WESTERN WORLD COINS",,NULL
"dime.find.coin.danish_ma.danish_lma.hvide","dime.find.subtype.coin.danish.hvide","Hvide","1380","1535","dime.period.historic","dime.material.silver","mønt;middelalder",,"http://vocab.getty.edu/aat/300194573","close match","LATER WESTERN WORLD COINS",,NULL
"dime.find.coin.danish_ma.danish_lma.klipping","dime.find.subtype.coin.danish.klipping","Klipping","1380","1535","dime.period.reformation","dime.material.silver","mønt;middelalder",,"http://vocab.getty.edu/aat/300194573","close match","LATER WESTERN WORLD COINS",,NULL
"dime.find.coin.danish_ma.danish_lma.soesling","dime.find.subtype.coin.danish.søsling","Søsling","1380","1535","dime.period.historic","dime.material.silver","mønt;middelalder",,"http://vocab.getty.edu/aat/300194573","close match","LATER WESTERN WORLD COINS",,NULL
"dime.find.coin.danish_ma.danish_lma.sterling","dime.find.subtype.coin.danish.sterling","Kobbersterling","1380","1535","dime.period.medieval.late","dime.material.copper","mønt;middelalder",,"http://vocab.getty.edu/aat/300194573","close match","LATER WESTERN WORLD COINS",,NULL
"dime.find.coin.foreign_ma","dime.find.subtype.coin.foreign;dime.find.subtype.coin.foreign.other","Udenlandsk middelaldermønt (1067-1535)","1067","1535","dime.period.medieval","dime.material.unknown","mønt",,"http://vocab.getty.edu/aat/300194573","close match","LATER WESTERN WORLD COINS",,NULL
"dime.find.coin.foreign_ma.hohlpfennig","dime.find.subtype.coin.foreign.hohlpfennig","Hulpenning","1067","1535","dime.period.historic","dime.material.silver","mønt",,"http://vocab.getty.edu/aat/300194573","close match","LATER WESTERN WORLD COINS",,NULL
"dime.find.coin.foreign_ma.sterling","dime.find.subtype.coin.foreign.sterling","Sterling","1067","1535","dime.period.medieval","dime.material.silver","mønt;engelsk;england",,"http://vocab.getty.edu/aat/300191932","close match","POUNDS (COINS)",,NULL
"dime.find.coin.foreign_ma.tournois","dime.find.subtype.coin.foreign.tournois","Tournois","1067","1535","dime.period.undated","dime.material.silver","mønt;fransk;frankrig",,"http://vocab.getty.edu/aat/300037240","exact match","GROS TOURNOIS",,NULL
"dime.find.coin.foreign_ma.witten","dime.find.subtype.coin.foreign.hvide","Witten (Nordtysk/Hansa)","1067","1535","dime.period.undated","dime.material.silver","mønt;hansa;nordtysk",,"http://vocab.getty.edu/aat/300194573","close match","LATER WESTERN WORLD COINS",,NULL
"dime.find.coin.modern_danish","dime.find.subtype.coin.modern-danish","Nyere dansk mønt (efter 1535)","1536","2020","dime.period.reformation.modern","dime.material.unknown","mønt",,"http://vocab.getty.edu/aat/300194573","close match","LATER WESTERN WORLD COINS",,NULL
"dime.find.coin.modern_foreign","dime.find.subtype.coin.modern-foreign","Nyere udenlandsk mønt (efter 1535)","1536","2020","dime.period.reformation.modern","dime.material.unknown","mønt",,"http://vocab.getty.edu/aat/300194573","close match","LATER WESTERN WORLD COINS",,NULL
"dime.find.coin.regnepennig","dime.find.subtype.coin.jeton","Regnepenning","1067","2020","dime.period.historic","dime.material.unknown","mønt",,"http://vocab.getty.edu/aat/300191481","exact match","JETTONS",,NULL
"dime.find.coin.roman","dime.find.subtype.coin.roman.other;dime.find.subtype.coin.roman;dime.find.subtype.coin.roman.unknown","Romersk mønt",,,"dime.period.iron.early","dime.material.unknown","mønt;romersk;byzantinsk",,"http://vocab.getty.edu/aat/300194572","close match","EARLY WESTERN WORLD COINS",,NULL
"dime.find.coin.roman.aureus","dime.find.subtype.coin.roman.aureus","Aureus","1","300","dime.period.iron.roman","dime.material.gold","mønt;romersk",,"http://vocab.getty.edu/aat/300192871","exact match","AUREI",,NULL
"dime.find.coin.roman.denar","dime.find.subtype.coin.roman.denarius","Romersk denar","-200","300","dime.period.iron.roman","dime.material.silver","mønt;romersk",,"http://vocab.getty.edu/aat/300037266","exact match","DENARII",,NULL
"dime.find.coin.roman.sesterts","dime.find.subtype.coin.roman.sestertius","Sesterts","-200","375","dime.period.iron.early","dime.material.unknown","mønt;romersk",,"http://vocab.getty.edu/aat/300037270","exact match","SESTERTII",,NULL
"dime.find.coin.roman.siliqua","dime.find.subtype.coin.roman.siliqua","Siliqua","324","400","dime.period.iron.roman.late","dime.material.silver","mønt;romersk",,"http://vocab.getty.edu/aat/300037271","exact match","SILIQUAE",,NULL
"dime.find.coin.roman.solidus","dime.find.subtype.coin.roman.solidus","Solidus","300","550","dime.period.iron.late","dime.material.gold","mønt;romersk",,"http://vocab.getty.edu/aat/300037252","exact match","SOLIDI",,NULL
"dime.find.coin.viking","dime.find.subtype.coin.viking.other;dime.find.subtype.coin.viking.unknown;dime.find.subtype.coin.viking.german;dime.find.subtype.coin.viking;dime.find.subtype.coin.viking.carolingian;dime.find.subtype.coin.viking.english","Vikingetidsmønt","750","1066","dime.period.viking","dime.material.unknown","mønt",,"http://vocab.getty.edu/aat/300194573","close match","LATER WESTERN WORLD COINS",,NULL
"dime.find.coin.viking.byzantine","dime.find.subtype.coin.viking.byzantine","Byzantisk vikingetidsmønt","750","1066","dime.period.viking","dime.material.unknown","mønt;vikingetid;byzantinsk",,"http://vocab.getty.edu/aat/300194573","close match","LATER WESTERN WORLD COINS",,NULL
"dime.find.coin.viking.carolingian","dime.find.subtype.coin.viking.denarius","Karolingisk mønt","750","900","dime.period.viking","dime.material.unknown","mønt;vikingetid",,"http://vocab.getty.edu/aat/300194573","close match","LATER WESTERN WORLD COINS",,NULL
"dime.find.coin.viking.dirham","dime.find.subtype.coin.viking.dirham","Dirhem","700","1000","dime.period.viking","dime.material.silver","mønt;vikingetid;kufisk",,"http://vocab.getty.edu/aat/300037258","exact match","DIRHAMS",,NULL
"dime.find.coin.viking.drachma","ny","Drakme","550","900","dime.period.prehistoric","dime.material.silver","mønt;vikingetid",,"http://vocab.getty.edu/aat/300191372","exact match","DRACHMAS",,NULL
